timestamp_iso,hr_bpm,pr_ms,rr_ms
2026-02-10T14:21:45.836425,80,168,750
2026-02-10T14:21:51.138919,80,168,750
2026-02-10T14:21:56.538762,80,168,750
2026-02-10T14:22:01.944106,80,168,750
2026-02-10T14:22:07.313796,80,168,750
2026-02-10T14:22:12.603284,80,168,750
2026-02-10T14:22:17.902955,80,168,750
2026-02-10T14:22:23.314452,80,168,750
2026-02-10T14:22:28.619941,80,168,750
2026-02-10T14:22:29.628228,132,168,455
2026-02-10T14:22:30.703581,154,168,390
2026-02-10T14:22:33.954613,159,168,377
2026-02-10T14:22:33.954751,159,168,377
2026-02-10T14:22:39.127235,159,168,377
2026-02-10T14:22:44.638753,159,168,377
2026-02-10T14:22:49.795356,159,168,377
2026-02-10T14:22:54.853799,159,168,377
2026-02-10T14:22:59.940285,159,168,377
2026-02-10T14:23:04.096334,148,168,405
2026-02-10T14:23:05.098562,76,168,789
2026-02-10T14:23:05.098683,76,168,789
2026-02-10T14:23:06.211842,54,168,1111
2026-02-10T14:23:09.534804,50,168,1200
2026-02-10T14:23:10.614355,50,168,1200
2026-02-10T14:23:15.888688,50,168,1200
2026-02-10T14:23:21.234045,50,168,1200
2026-02-10T14:23:26.618090,50,168,1200
2026-02-10T14:23:31.907126,50,168,1200
2026-02-10T14:23:37.291517,50,168,1200
2026-02-10T14:23:42.600458,50,168,1200
2026-02-10T14:23:47.882929,50,168,1200
2026-02-10T14:23:53.218639,50,168,1200
2026-02-10T14:23:58.598696,50,168,1200
2026-02-10T14:24:03.891166,50,168,1200
2026-02-10T14:24:09.247429,50,168,1200
2026-02-10T14:24:14.572802,50,168,1200
2026-02-10T14:27:39.427784,75,168,800
2026-02-10T14:27:39.428059,75,168,800
2026-02-10T14:27:41.703888,0,168,
2026-02-10T14:27:45.183416,0,168,
2026-02-10T14:27:46.199650,15,168,4000
2026-02-10T14:27:50.334679,15,168,4000
2026-02-10T14:27:51.352264,78,168,769
2026-02-10T14:27:52.353067,89,168,674
2026-02-10T14:27:55.399139,89,168,674
